FAC_NAME,COUNTY_NAME,YEAR_QTR,OP_STATUS,TYPE_HOSP,AVL_BEDS,DAY_TOT,VIS_TOT,GRIP_TOT,GROP_TOT,BAD_DEBT,CAP_TOT,NET_TOT,TOT_OP_EXP,EXP_PIPS,EXP_POPS,CAP_EXP,YEAR,QUARTER,POPULATION
ADVENTIST HEALTH AND RIDEOUT,Yuba,20201,OPEN,Comparable,221,13925,62481,242356695,144591790,5300378,0,108397780,123166106,0,0,408085,2020,1,84335
ADVENTIST HEALTH BAKERSFIELD,Kern,20201,OPEN,Comparable,254,15745,50936,326651491,255890814,3170747,0,110535723,105463476,0,0,2852290,2020,1,917293
ADVENTIST HEALTH CLEARLAKE,Lake,20201,OPEN,Comparable,25,1416,67017,19358208,60119254,1448625,2590169,28370631,31225868,0,0,1679825,2020,1,68239
ADVENTIST HEALTH DELANO,Kern,20201,OPEN,Comparable,156,6374,26304,24549253,22729831,343667,0,17894786,20999622,0,0,153022,2020,1,917293
ADVENTIST HEALTH GLENDALE,Los Angeles,20201,OPEN,Comparable,462,24436,46100,518418595,251107812,4348671,0,116986673,131553419,0,0,402701,2020,1,9748447
ADVENTIST HEALTH HANFORD,Kings,20201,OPEN,Comparable,230,11084,67648,120139309,191824269,7146616,4243265,82600148,77204626,0,0,1016618,2020,1,152776
ADVENTIST HEALTH HOWARD MEMORIAL,Mendocino,20201,OPEN,Comparable,25,1841,16189,33746756,29305744,796357,1218834,18084012,19932911,0,0,171571,2020,1,90027
ADVENTIST HEALTH LODI MEMORIAL,San Joaquin,20201,OPEN,Comparable,190,7494,62144,208399479,195759915,4229982,469191,63674627,62420014,0,0,641819,2020,1,795880
ADVENTIST HEALTH REEDLEY,Fresno,20201,OPEN,Comparable,49,1281,146760,10854118,74980010,3085074,462626,47007126,43150937,0,0,3282298,2020,1,1017107
ADVENTIST HEALTH SIMI VALLEY,Ventura,20201,OPEN,Comparable,130,7908,18848,137534185,77390982,2974745,0,40389030,43656405,0,0,1296298,2020,1,835032
ADVENTIST HEALTH SONORA - GREENLEY,Tuolumne,20201,OPEN,Comparable,152,9892,97673,100339937,194966158,4023214,11071,67106755,67060087,0,0,352104,2020,1,53951
ADVENTIST HEALTH ST. HELENA,Napa,20201,OPEN,Comparable,151,5138,14223,143369567,123369548,1256782,6839278,51840592,60710163,0,0,1104251,2020,1,134492
ADVENTIST HEALTH TEHACHAPI VALLEY,Kern,20201,OPEN,Comparable,20,901,10735,8454820,25401670,1160637,0,9827064,10108189,0,0,177506,2020,1,917293
ADVENTIST HEALTH TULARE,Tulare,20201,OPEN,Comparable,103,945,6753,40339143,7268786,0,0,12687514,16189143,0,0,241171,2020,1,478288
ADVENTIST HEALTH UKIAH VALLEY,Mendocino,20201,OPEN,Comparable,50,3199,61627,47344776,104884146,939901,10111444,48621637,49488830,0,0,88507,2020,1,90027
ADVENTIST HEALTH VALLEJO,Solano,20201,OPEN,Comparable,61,4822,980,20460500,2943836,240352,0,6137984,7072340,0,0,0,2020,1,449724
ADVENTIST HEALTH WHITE MEMORIAL,Los Angeles,20201,OPEN,Comparable,353,21220,32759,485474079,203400822,3504781,9741915,110281091,122492574,0,0,2034855,2020,1,9748447
AHMC ANAHEIM REGIONAL MEDICAL CENTER,Orange,20201,OPEN,Comparable,223,9645,11900,189949611,105613227,2278333,0,49752248,47236129,0,0,712438,2020,1,3158489
ALAMEDA HOSPITAL,Alameda,20201,OPEN,Comparable,247,18692,10657,101925228,34965298,3978980,0,20246429,21316568,0,0,44640,2020,1,1635693
ALHAMBRA HOSPITAL MEDICAL CENTER,Los Angeles,20201,OPEN,Comparable,144,8271,6920,107999879,34648931,-378505,33326689,49710647,50271871,0,0,68695,2020,1,9748447
ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMPUS,Alameda,20201,OPEN,Comparable,393,18437,25436,266074013,181893473,2132439,8881014,157302025,184981591,0,0,1225846,2020,1,1635693
ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT HAWTHORNE,Alameda,20201,OPEN,Comparable,395,16882,12264,285884979,131094923,2065943,0,117907936,122031795,0,0,37708677,2020,1,1635693
ALVARADO HOSPITAL,San Diego,20201,OPEN,Comparable,306,6888,9181,92451446,32571749,1418514,0,29094481,32099440,0,0,1808136,2020,1,3283755
ALVARADO PARKWAY INSTITUTE BHS,San Diego,20201,OPEN,Comparable,66,5270,36086,13539624,10836870,493327,0,8237440,7469709,0,0,149993,2020,1,3283755
AMERICAN RECOVERY CENTER,Los Angeles,20201,OPEN,Comparable,173,11587,3805,2426180,90685,0,0,2516865,2303372,0,0,0,2020,1,9748447
ANAHEIM GLOBAL MEDICAL CENTER,Orange,20201,OPEN,Comparable,188,11065,6305,59375024,26350333,181812,0,21840251,23803203,0,0,128443,2020,1,3158489
